[00:00 - 00:01]  ресурсы, правильно?
[55:52 - 56:02]  Типа не, не, не, это не государство, вам кажется
[56:02 - 56:13]  Последнее Боилия
[56:13 - 56:24]  Типа Ивановича и Северная Корея
[56:24 - 56:26]  Не, не, это как Крыма
[56:26 - 56:28]  Южная Корея, Северная Корея
[56:28 - 56:32]  У нас хотела разделение
[56:32 - 56:33]  Странная Корея
[56:33 - 56:38]  Это вы определите, сколько
[56:38 - 56:40]  Южная и Северная Корея
[56:40 - 56:41]  Северная Корея
[56:41 - 56:45]  Сейчас вернитесь, пожалуйста
[56:45 - 56:46]  И посмотрите
[56:46 - 56:53]  В какой стране находятся хранилища и их объемы?
[56:54 - 57:01]  Водохранилище, ребята, это наша чистая вода, которая необходима в человечестве.
[57:01 - 57:11]  Если кто-то проявит интерес, сколько воды необходимо в год для населения земного шара, это будет большой прием.
[57:11 - 57:12]  А где Канада?
[57:13 - 57:14]  В чем тут это США?
[57:15 - 57:17]  Погрелать здесь каких-то профессионалов.
[57:18 - 57:19]  Вон, где нормально.
[57:19 - 57:21]  Может погрелать здесь, если мужик США выкрыт.
[57:21 - 57:32]  А Гондурас смотри, Гондурас находится, вот он, вот он, вот он, видишь флаг этот синий со звездочкой в центре, да это он, это Гондурас.
[57:32 - 57:36]  А я не понял, а почему на этой карте Канаду в США заседали?
[57:36 - 57:42]  А кстати, стой, а почему тут 52, а не 53?
[57:42 - 57:52]  САС, Теревик, Интернет, Передик, и он читал.
[57:52 - 57:54]  Почему тут вот это вот...
[57:54 - 57:54]  Тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо
[57:54 - 58:48]  Тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо-тихо
[58:48 - 58:54]  Задание мы не проверили ресурсы, правильно Вить, да?
[58:54 - 58:58]  Группа сегодня получает карточки.
[58:59 - 59:01]  Я не могла это задание.
[59:01 - 59:04]  Я это задание буду проверять на следующий год.
[59:05 - 59:08]  Кроме этого задания у вас еще и не сомнится.
[59:08 - 59:13]  После этого я прямо сейчас напишу, ДЗ, вопросом.
[59:14 - 59:15]  Опасная природа и время.
[59:26 - 59:26]  Вопросом.
[59:27 - 59:28]  Вопрос.
[59:29 - 59:33]  Когда будете писать, опасная природа и выйти, можно.
[59:34 - 59:39]  Опасное природное явление, да, ребята, не просто цунами, не просто землетрясение.
[59:39 - 59:48]  Где были сильные толчки землетрясения, какое разрушение, в какой стране, в каком году это было.
[59:48 - 59:55]  Есть ли данные в числе погибших во время землетрясения?
[60:00 - 60:07]  Очень непростая ситуация развития – это островные государства.
[60:07 - 60:09]  Это бесплатно или что?
[60:09 - 60:10]  Это бесплатно или что?
[60:10 - 60:11]  Да.
[60:11 - 60:12]  Это хаб, это бесплатно.
[60:12 - 60:15]  Нет, хаб это бесплатно.
[60:15 - 60:17]  Самая шутка бесплатная.
[60:17 - 60:18]  Не знаю, у меня покупают.
[60:18 - 60:20]  Спроси.
[60:20 - 60:22]  Чего ты купил?
[60:22 - 60:28]  Я пришел.
[60:28 - 60:30]  Это видео, это нашел.
[60:30 - 60:32]  Бабальные, да.
[60:32 - 60:35]  Мне кажется, в оригинале все равно нашел, но его не пропустили.
[60:35 - 60:36]  Найк.
[60:36 - 60:39]  Альтернативная карта.
[60:39 - 60:41]  Что у него вообще происходит?
[60:41 - 60:43]  Это она еще, ебать.
[60:43 - 60:45]  Так не гарантировано.
[60:45 - 60:47]  Так это мужик.
[60:47 - 60:50]  Девушки очень часто начали писать в последнее время о сибирском роде.
[60:51 - 60:53]  А, это альтернативки хуярят.
[60:55 - 60:56]  Ебать, что у нее с флагом России?
[60:57 - 60:58]  Ты чего ухудела?
[61:01 - 61:03]  А я посмотрю, что шерсты делал.
[61:03 - 61:05]  Мне интересно, что будет пизды поиск.
[61:06 - 61:07]  Да.
[61:08 - 61:10]  Какой ты проклят, а вот.
[61:14 - 61:16]  А, для вас это не то.
[61:16 - 61:19]  Ни хуя не крути.
[61:20 - 61:20]  Слава.
[61:22 - 61:23]  Альтернативные карты мира.
[61:23 - 61:25]  Блядь, я пошу тебя.
[61:26 - 61:30]  Во слава Кринкен, зивит агаля, во слава Кринкен.
[61:30 - 61:31]  Вообще китарь.
[61:33 - 61:34]  Гета.
[61:35 - 61:38]  Да, это люди, видать, пишут, какую тиратуру писать занятия.
[61:39 - 61:39]  Гета.
[61:40 - 61:42]  А, Гета.
[61:42 - 61:42]  Да, да, да.
[61:43 - 61:45]  Гета же из Узбек.
[61:48 - 61:52]  Ну, сообщили.
[62:16 - 62:22]  Заканчиваем для того, чтобы перейти к нему.
[62:22 - 62:23]  Это через два года.
[62:24 - 62:27]  Помните, и у нас будет зачетная работа в виде игры.
[62:27 - 62:36]  Вы из вас готовите один вопрос и ответ, безусловно.
[62:37 - 62:50]  Я беру в руку 138, у меня 34 человека, беру карточки, пишу 34 карточки, складываю в пакетик,
[62:50 - 62:55]  подхожу к Варваре первой, так как я ее знаю, и она меня знает, но друг друга не подведет.
[62:56 - 63:00]  Я подаю ей этот пакет, где карточки с номерами.
[63:00 - 63:02]  Варваре, скажите, любой номер.
[63:02 - 63:04]  Я починил лягушку.
[63:07 - 63:07]  27.
[63:09 - 63:11]  Сейчас, минуточку.
[63:11 - 63:15]  Я покажу модель, чтобы вы были готовы.
[63:16 - 63:22]  27. Сави... нет, Сави Хянов, Самир, здесь?
[63:22 - 63:22]  Здесь.
[63:23 - 63:24]  Сави Хянов, вставай.
[63:25 - 63:27]  Варвара, вставайте.
[63:27 - 63:30]  Вы готовы задать ему вопрос, да?
[63:30 - 63:32]  Да, какое сегодня число задать ему вопрос?
[63:33 - 63:34]  Может, приходилось?
[63:34 - 63:35]  Ага.
[63:35 - 63:36]  Нет, да вот.
[63:36 - 63:37]  Короче, у тебя есть вопрос?
[63:37 - 63:38]  Какое сегодня число?
[63:38 - 63:39]  Я узнаю вопрос.
[63:40 - 63:41]  Пятнадцатое. Вы довольны ответом?
[63:42 - 63:43]  Да, садитесь.
[63:43 - 63:48]  Салиханов, вы теперь вы вытаскиваете из пакетика...
[63:48 - 63:48]  Салиханов.
[63:48 - 63:49]  Салиханов.
[63:50 - 63:51]  По имя лучше скажи.
[63:51 - 63:52]  Самир.
[63:52 - 63:52]  Самир.
[63:53 - 64:03]  И вытаскивает номер, да, на карточку, там номер, и он обращается со своим вопросом к следующему студенту.
[64:04 - 64:05]  Вы отвечаете.
[64:05 - 64:10]  Оценивается, как вы ответите на поставленный вопрос.
[64:10 - 64:11]  Какие вопросы?
[64:11 - 64:36]  По разделу, да? По разделу это антропогенная, географическая среда, географическая, естественная среда, что я себя представляю, что такое ресурсообеспеченность, все то, что мы с вами рассматривали, какие глобальные проблемы стоят перед человечеством, и если это проблема, почему охарактеризуется?
[64:36 - 64:46]  То есть абсолютно на все выбираем вопросы на тему, которую мы с вами изучили.
[64:46 - 64:47]  А это к следующему уроку?
[64:47 - 64:48]  Нет, это через урок.
[64:49 - 64:53]  А к следующему уроку, что мы готовим?
[64:53 - 64:54]  Таблица.
[64:54 - 64:55]  Таблица, первое.
[64:55 - 64:56]  Второе.
[64:56 - 64:57]  Конспекты.
[64:58 - 64:59]  Сообщения.
[64:59 - 65:01]  Это ресурсы.
[65:02 - 65:04]  Это природные ресурсы.
[65:04 - 65:07]  Сообщение именно на природные ресурсы.
[65:08 - 65:10]  И опасные природные явления.
[65:10 - 65:12]  Сообщение надо про ресурсы сделать.
[65:12 - 65:13]  Ресурс, сообщение.
[65:13 - 65:16]  А как вы будете рассказывать?
[65:17 - 65:18]  А что же надо там указать?
[65:19 - 65:20]  Природные ресурсы.
[65:21 - 65:22]  Природные ресурсы.
[65:22 - 65:32]  Это минеральные, это лесные ресурсы, земельные ресурсы, ресурсы весны, воды, энергетические ресурсы.
[65:32 - 65:34]  Вы все это выбираете.
[65:34 - 65:38]  Выбирайте один ресурс на ваше усмотрение.
[65:38 - 65:39]  Понятно, да?
[65:39 - 66:15]  Сейчас окошечки завтра имеем, сейчас руки у нас достался, но серия, серия, до второго этажа директора три раза, три раза, три раза, три раза, таким образом у нас с вами имеется в арсенале три оценки, ребята, три оценки,
[66:15 - 66:26]  Это провальные проблемы человечества, это ресурсы, это опасные природные явления, да?
[66:26 - 66:30]  И четвертое – это оценка вопросов. Понятно, да?
[66:33 - 66:36]  Как вы думаете, они до скольки будут работать?
[66:36 - 66:40]  Не, сегодня до скольки.
[67:52 - 67:56]  Всё нормально, ладно, посмотрите.
[67:56 - 67:58]  Хорошего, хорошего.
