[00:00 - 00:03]  романтизма, активистов и пессимистов.
[34:52 - 34:57]  Его отец Сергей Львович был любителем литературы.
[34:57 - 35:00]  В его доме собирались все известные писатели.
[35:02 - 35:09]  Мать Надежда Осиповна была внучкой араба Петра Великого, Ганнибала.
[35:09 - 35:11]  Вы знаете, что это означает?
[35:15 - 35:18]  Внучка была.
[35:19 - 35:23]  Вот прадед у Александра Сергеевича Пушкина.
[35:23 - 35:25]  Его украли в Африке.
[35:25 - 35:27]  Ну, не помню, из какого государства.
[35:27 - 35:29]  Там же есть разделение.
[35:30 - 35:33]  И привезли его в Константинополь.
[35:33 - 35:34]  Константинополь где находится?
[35:36 - 35:37]  Турция.
[35:37 - 35:38]  Стамбул.
[35:38 - 35:40]  Сейчас Стамбул в настоящий день.
[35:40 - 35:43]  Можно, кстати, он всегда был в Стамбулу.
[35:43 - 35:45]  Константинополь, он был топливом.
[35:45 - 35:46]  Ладно.
[35:47 - 35:51]  В Византии была, Константинополь на бумагах, да, потом стал Стамбулом.
[35:51 - 35:53]  Так происходило изменение в Турции.
[35:53 - 35:55]  Что хотелось сказать.
[35:55 - 36:01]  И когда продавали его на рынке, его купил главный приближенный Петра Великого.
[36:01 - 36:08]  Петр Великий очень любил экзотические различные предметы, в частности, когда ему привозили людей.
[36:09 - 36:13]  Вот этот его приближенный человек привез его в подарки ему.
[36:14 - 36:19]  Петр Великий очень принял его и очень делал его близким к себе человеком.
[36:19 - 36:36]  Он был денщиком. Денщик – это человек, который сопровождал везде царя, сопровождал, записывал, участвовал во всех совещаниях, был в курсе всех дел, дал замечательное образование этому арабчонку.
[36:37 - 36:43]  Арабчонок стал приближенным к Петру Первому, к Петру Великому.
[36:43 - 36:50]  И вот его мама, как раз Надежда Осиповна, была внучкой араба Петра Великого.
[36:51 - 36:59]  В 1811 году, ну про детство могу рассказать, он был полноватый Пушкин с детства.
[36:59 - 37:04]  Даже родители боялись то, что это скажется в будущем на его здоровье.
[37:05 - 37:09]  Но он потом пошел в рост, и все нормально стало у него.
[37:09 - 37:37]  Первым языком у Александра Сергеевича Пушкина был какой язык? Французский. Он идеально владел французским языком. Второй язык у него стал, какой язык? Русский язык. Он изучил его благодаря Арине Родионовне, няне, которая читала ему стихи, рассказы, которые проводила, иди, пожалуйста, иди, которая проводилась немного времени.
[37:37 - 37:45]  Он обладал в совершенстве, вы видите, сейчас знаменитое его стихотворение, да, мы можем делать выводы.
[37:46 - 37:51]  Дальше, что он поступает в изначальное образование, он дома получил.
[37:52 - 38:02]  В 1811 году Пушкин поступил в царско-сельский лицей, это было привилегированное учебное заведение для дворянских детей.
[38:02 - 38:06]  Лицей дал Пушкину блестящее образование.
[38:06 - 38:10]  Он был в числе передовых по предметам словесности.
[38:11 - 38:12]  Словесность это что?
[38:14 - 38:18]  Филология, словесности и французскому языку.
[38:18 - 38:23]  Даже у него было, его называли французом, как его второе имя было.
[38:24 - 38:27]  Так, дальше что еще могу сказать?
[38:28 - 38:33]  Из лицея он получил не только блестящее образование, еще что получил?
[38:33 - 38:33]  Друзей.
[38:33 - 38:35]  Лучше в друзей, молодец.
[38:35 - 38:41]  Это Пущин у него лучший друг был, сопровождал его по всей жизни.
[38:41 - 38:45]  Дельвик был и Вильгельм Кухельбекер был.
[38:46 - 38:47]  Это его близкие друзья были.
[38:49 - 38:51]  В лице Пушкин начал писать стихи.
[38:52 - 38:54]  Уже тогда его заметили.
[38:55 - 38:58]  На экзамене, когда он прочитал свои стихотворения,
[38:58 - 39:00]  вспоминания о царском селе,
[39:01 - 39:03]  на публичном экзамене присутствовал кто?
[39:03 - 39:10]  Тогда это был Александр Пуланович.
[39:10 - 39:15]  Гавриил Державин, это поэт 18 века.
[39:15 - 39:17]  Вы должны были его проходить в школе.
[39:18 - 39:20]  Он так был...
[39:20 - 39:21]  Державин, да?
[39:22 - 39:24]  Державин, да.
[39:24 - 39:27]  Он был в Казани.
[39:27 - 39:30]  На экзамене он присутствовал.
[39:30 - 39:31]  А что мы должны были не читать?
[39:32 - 39:35]  Ну и произведения, стихотворения, оды должны были читать.
[39:35 - 39:36]  Прошли бы, нет?
[39:37 - 39:40]  Ладно, если у нас время...
[39:40 - 39:42]  Ну мы не сможем 18 век взять.
[39:42 - 39:44]  У нас уже 19-е, там 20-е идет.
[39:44 - 39:46]  Просто все уже невозможно было.
[39:46 - 39:50]  Так, Гавриила Державина, великого поэта 18 века.
[39:51 - 39:59]  Старый Державин был потрясен очень и предвещал ему в скором будущем успех,
[39:59 - 40:10]  потому что он так хорошо прочитал, он даже его похвалил по плечу, как бы похлопал.
[40:10 - 40:14]  Сказал, что он здесь, ну мне просто уже язык заплетается, шестая пара,
[40:14 - 40:16]  поэтому спасибо, что помогаешь.
[40:17 - 40:21]  Давайте, ну что у вас прям, недержание что ли, идите.
[40:21 - 40:25]  Так, пишем, детство и лицей и годы пишем.
[40:25 - 40:35]  Детство и лицей, не тензисов запишем, ладно, все диктовать я не буду.
[40:35 - 40:44]  Детство и лицей, годы пишем, 1799-1817.
[40:44 - 40:56]  Это детство Ирицы 1799 и 1800.
[40:57 - 41:02]  А у него раз в лице и тогда, во время лице, его не заметили, когда он проехал?
[41:02 - 41:04]  Заметили его и другие.
[41:04 - 41:07]  Купый год был скребет, который тогда предлагал роду зайцев к Северскому.
[41:09 - 41:16]  Ну, там его многие писатели поезда, но особенно вес имел тогда на экзамене, который присутствует Гавриил Державин.
[41:16 - 41:18]  Он был восхищен.
[41:18 - 41:21]  После Гавриила Державина дальше пошел пик его роста.
[41:21 - 41:34]  Из-за того, что он много выражался и прямо линейный был, потом он подвергся к ссылкам.
[41:37 - 41:40]  Ну вот это вот я точно не знаю, не могу тебе сказать.
[41:40 - 41:49]  Нам в школе, по крайней мере, говорили, что даже Кушкин, в момент, когда Грибоедова уже уносили мертвого, Кушкин ходился рядом.
[41:51 - 41:53]  Ну как это учитель был.
[41:53 - 42:24]  Да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да, да
[42:24 - 42:29]  Если был бы ты в Москве в 1825 году, что бы ты сделал на подобие этого?
[42:29 - 42:32]  Он сказал бы, я бы участвовал в Астаниде.
[42:32 - 42:32]  А он был в Астаниде?
[42:32 - 42:34]  Нет, он был в Астаниде.
[42:34 - 42:34]  Да?
[42:35 - 42:35]  Да.
[42:35 - 42:36]  Нет.
[42:36 - 42:41]  Если бы он участвовал, он был бы повешен крылеем.
[42:41 - 42:42]  Ладно, дальше слушаем.
[42:43 - 42:49]  Родился, значит, в 1799 году, точка запятой, Москва.
[42:49 - 43:06]  Так, родился в 1799 году, запятая, Москва.
[43:08 - 43:25]  Дальше, пишем 1811-е, родился в 1799 году, Москва, запятая Москва.
[43:25 - 43:40]  Дальше, пишем 1811-1817 года, 1811-1817 года, это получается 6 лет, да?
[43:41 - 43:48]  Учеба в царской сельском лицее, запишите.
[43:48 - 43:52]  Учеба в царской сельском лицее.
[43:53 - 43:57]  Учеба в царской сельском лицее.
[44:01 - 44:06]  Запишем, друзья, кто были.
[44:08 - 44:14]  Друзья Пуща, друзья двоеточие Пуща, Дельвик.
[44:15 - 44:18]  У нас там написано, Дельвик написано там.
[44:19 - 44:21]  Да, Дельвик.
[44:21 - 44:24]  Дельвик, да, Дельвик, у меня уже все.
[44:24 - 44:26]  Дельвик и Кюхельбекер.
[44:29 - 44:34]  Пушкин Дельвик Хельбекер.
[44:37 - 44:41]  Ну, Хельбекер, написано на доске.
[44:41 - 44:45]  Всё, ладно, больше не пишем дальше, рассказывай просто.
[44:46 - 44:49]  Так, в Петербурге он был... Можно.
[44:50 - 44:56]  В Петербурге он был с 1817 года по 1820 года.
[44:56 - 45:00]  После окончания лицея Пушкин поселился в Петербурге.
[45:01 - 45:06]  Это было время его юношеской, вольнолюбивой поэзии.
[45:06 - 45:10]  Пушкин вошёл в кружок «Зелёная лампа».
[45:10 - 45:13]  «Зелёная лампа» относилась к чему, как вы думаете?
[45:13 - 45:18]  Была связана с тайной обществом декабристов, конечно.
[45:19 - 45:22]  Он пишет стихи, в которых звучит призыв к чему?
[45:22 - 45:25]  К свободе, к действию.
[45:26 - 45:31]  Самая известная из них – Ода какая? Не знаете?
[45:32 - 45:37]  «Вольность», которая была написана в 1817 году.
[45:37 - 45:43]  Он пишет «Хочу воспеть свободу мира, на тронах поразить порог».
[45:43 - 45:51]  Стихотворение распространилось нелегально в списках и стало главной причиной ссылки поэта.
[45:52 - 46:00]  Ну, конечно же, это произведение дошло, вы знаете, до вышестоящих людей, и, соответственно, он подвергся ссылке.
[46:00 - 46:15]  В 1819 году он пишет стихотворение «Деревня», где обличает, публично показывает, как негативно относится к крепостному праву.
[46:16 - 46:36]  Здесь барство дикое, без чувства, без закона, он пишет. Не зря мы говорим то, что было у нас новоположником реализма, потому что здесь он действительно все показывает происходящее в стране. Именно за эти стихи царь отправил Пушкина на юг.
[46:36 - 46:59]  Записываем в 1817-1820 годах, в 1817-1820 годах, в 1817-1820.
[46:59 - 47:05]  Вот в этом промежутке времени он находился где? В Петербурге.
[47:06 - 47:10]  Тире Петербургский период, можете написать. Или просто тире Петербург.
[47:10 - 47:16]  Чтобы вы посмотрели в записи и вспомнили, о чем я вам рассказывала.
[47:16 - 47:18]  Поэтому я вам все дословно не даю.
[47:19 - 47:21]  Дальше.
[47:22 - 47:24]  Вольно-любивая лирика запишите.
[47:24 - 47:26]  Вольно-любивая лирика.
[47:28 - 47:30]  Двоеточие.
[47:30 - 47:33]  Вольно-любивая лирика.
[47:34 - 47:35]  Двоеточие.
[47:38 - 47:43]  Исходя из этого, вы должны знать, что из вольно-любивой лирики какие произведения?
[47:45 - 47:46]  Вольность в кавычках берем.
[47:46 - 47:47]  Деревня.
[47:47 - 47:48]  Деревня, молодцы.
[47:48 - 47:51]  Вольность в кавычки берем.
[47:52 - 47:54]  Написанная в 1817 году.
[48:00 - 48:05]  17.
[48:08 - 48:28]  Так, деревня, 1819 год, да, 1819 год, деревня, да, записали?
[48:29 - 49:02]  Идея запишите, двоеточие, идея, в которой власть закона, он описывает, власть закона, просто запишите словами, так, запятая, критика, крепостничество и самодержавие, крепостничество и самодержавие.
[49:02 - 49:33]  После этих стихотворений, то, что он написал, его отправляет царь куда? На ссылку, на южную. У нас когда была южная ссылка, получается? В 1820-е годы по 1824-е годы у него была южная ссылка, 1820-е, 1824-е.
[49:33 - 49:51]  Пока не пишите, сейчас расскажу. В 1820 году за вольно любивые стихи Пушкина отправили в южную ссылку. Сначала он оказался в Екатеринославе, потом в Кишиневе, затем в Одессе.
[49:51 - 49:57]  На юге Пушкин увлекся романтизмом, увлекся поэзией Байрона.
[49:57 - 50:07]  Он пишет романтические поэмы, такие как «Кавказский пленник», «Братья-разбойники», «Сарайский фонтан», «Цыгане».
[50:07 - 50:16]  В этот период он создает стихотворение «К морю», которое было написано в 1824 году.
[50:16 - 50:46]  Это элегия. Вот он написал элегию к морю. Это что у нас такое элегия? Философская. Мы писали на том занятии. Размышление. Писали о свободе. Море у Пушкина символ чего? Свободы, стихии, судьбы. Оно своенравно, непредсказуемо, как жизнь человека. В этом стихотворении он прощается с морем и с романтическими идеалами.
[50:46 - 51:02]  Из-за конфликта Александра Сергеевича Пушкина с генералом-губернатором Воронцовым, Пушкина отправляют на новую ссылку, село Михайловское. Село Михайловское это поместье по линиям матери.
[51:02 - 51:27]  Вот как раз с 1824 года, ой, по 26-й год он был в Селине Михайловском, а восстание в 1825 году, понимаете, в 26-м году мы было повешивание, повесили, в декабре 14-го, да?
[51:29 - 51:35]  История проходите вы, кстати? Или вы начали вообще с времен?
[51:35 - 51:38]  Мы начали, что такое государство?
[51:38 - 51:40]  Почему вы так с Олзов начали?
[51:41 - 51:43]  Плохо знаете?
[51:43 - 51:44]  Ну и почему?
[51:47 - 51:48]  Ну, у нас потом как раз нет.
[51:49 - 51:51]  Она спрашивала, что мы ждали без всего.
[51:51 - 51:54]  Мы искали начало и конец, а середину как раз.
[51:54 - 51:55]  А, вот это уже плоховато, да?
[51:56 - 51:58]  Она вам рассказывает?
[51:58 - 52:01]  Ну, у нас только одна пара была.
[52:01 - 52:02]  Рассказывала?
[52:02 - 52:02]  Да.
[52:03 - 52:05]  Ну, так она все по полочкам, все по порядку.
[52:05 - 52:06]  Ну, поняла.
[52:06 - 52:08]  С 131, чтобы у вас все стало.
[52:08 - 52:10]  Ага, поняла.
[52:10 - 52:11]  Чтобы у вас все конкретно было.
[52:11 - 52:12]  Ладно.
[52:13 - 52:18]  Значит, 1820-1824, да-да, запишите.
[52:20 - 52:22]  Южная ссылка, серая записали, да?
[52:28 - 52:32]  1820-1824.
[52:33 - 52:35]  Закройте инфидуэт.
[52:38 - 52:39]  Южная.
[52:40 - 52:41]  Южная ссылка.
[52:45 - 52:48]  Не сохранная?
[52:48 - 52:49]  Давай закроем.
[52:49 - 52:55]  А то окно закрыто, заднее окно.
[52:56 - 52:58]  Смотрится заднее окно, а то закрыто.
[52:59 - 53:01]  А, закройте, пожалуйста.
[53:01 - 53:04]  Так, дальше, увлечение романтизмом.
[53:04 - 53:06]  Пишите, увлечение романтизмом.
[53:07 - 53:11]  Увлечение романтизмом.
[53:12 - 53:14]  Увлечение романтизмом.
[53:15 - 53:21]  Значит, записываем 1820-24 года, южная ссылка.
[53:22 - 53:27]  Потом, увлечение романтизмом, запятая, влияние Байрона.
[53:31 - 53:36]  Увлечение романтизмом, влияние Байрона.
[53:36 - 53:46]  Точка, поэмы, двоеточие.
[53:46 - 53:48]  Поэмы, двоеточие.
[53:49 - 53:52]  Поема, какие он написал сейчас перечти.
[53:53 - 53:55]  Кавказский пленник.
[53:55 - 53:56]  Ну, часть только написала.
[53:58 - 53:58]  Нет, нет.
[53:58 - 54:00]  Кавказский пленник.
[54:00 - 54:02]  У Лермонтова еще есть.
[54:02 - 54:04]  Кавказский пленник.
[54:04 - 54:05]  Потом цыгане.
[54:11 - 54:15]  Стихотворение к морю.
[54:17 - 54:20]  Стихотворение к морю.
[54:22 - 54:22]  1824.
[54:26 - 54:34]  Это философское размышление о свободе и судьбе.
[54:35 - 54:36]  Запишись просто к морю.
[54:36 - 54:38]  Это философское к морю.
[54:40 - 54:41]  1824 год.
[54:41 - 54:45]  Это философское размышление о свободе и судьбе.
[54:45 - 54:46]  Записали?
[54:48 - 54:51]  О свободе и судьбе.
[54:53 - 54:57]  Так, о свободе, что делаешь, дергаешься.
[54:58 - 54:58]  Нормально.
[54:59 - 55:00]  О свободе и судьбе.
[55:01 - 55:02]  Так, записали.
[55:03 - 55:06]  Значит, записали.
[55:06 - 55:08]  После этого Михайловское пишем.
[55:09 - 55:10]  Скажите, если бы.
[55:11 - 55:12]  Не будем сказать, сказал, да?
[55:12 - 55:13]  Ну ладно.
[55:14 - 55:14]  Так.
[55:14 - 55:15]  Ему не слегка.
[55:15 - 55:15]  А?
[55:16 - 55:16]  Ему не слегка.
[55:17 - 55:18]  Ладно, расскажу.
[55:18 - 55:19]  Михайловское.
[55:19 - 55:26]  Там Михайловское было в 1824-1826 годах.
[55:26 - 55:29]  Три года, два года он провел.
[55:45 - 55:47]  Отношения с отцом были напряженные.
[55:48 - 55:49]  Почему напряженные были?
[55:49 - 55:51]  Из-за того, что он хочет.
[55:52 - 55:55]  Конечно, отец очень сильно переживал.
[55:56 - 56:01]  Сергей Львович, его отец был, согласился установить даже за сыном надзор.
[56:02 - 56:06]  Позднюю осенью родители уехали, а Фушкин остался в полном одиночке.
[56:07 - 56:11]  Но именно Михайловский период стал удивительно плодотворным для него.
[56:11 - 56:15]  Я же вам говорила, что на ходу у него приходили идеи.
[56:16 - 56:17]  Что приходило у него?
[56:18 - 56:19]  Вдохновение.
[56:19 - 56:20]  Вдохновение, да.
[56:20 - 56:23]  Молодцы, у меня все злого-поварного запаса уже и вся.
[56:24 - 56:25]  Вдохновение.
[56:25 - 56:31]  Он написал более ста стихотворений, среди которых, я помню, чудное мгновение,
[56:31 - 56:33]  которое вы учили в школе.
[56:33 - 56:35]  Передо мной явилась ты, да?
[56:35 - 56:37]  Да, да, учили.
[56:37 - 56:41]  Как моментное явление, как видение чистой красоты.
[56:42 - 56:45]  Учили стихотворение? Все учили?
[56:45 - 56:46]  А, да.
[56:47 - 56:50]  Другое было?
[56:50 - 56:50]  Да.
[56:52 - 56:54]  А, Лукоморий дух зеленый, да?
[56:55 - 56:59]  Ладно, это стихотворение было посвящено Анне Кер.
[56:59 - 57:05]  Также он написал такие знаменитые произведения, как «Пророк», «Зимний вечер»,
[57:05 - 57:11]  Борис Годунов написал в 1825 году трагедию и поэму «Цыгане».
[57:11 - 57:15]  В Михайловском происходит становление Пушкина, пушкинского реализма.
[57:15 - 57:20]  Не были, но он продолжает и не начинал.
[57:20 - 57:30]  В 1825 году он узнает о восстании декабристов.
[57:30 - 57:33]  Пушкин переживает за своих друзей.
[57:34 - 57:39]  Позже он напишет стихотворение, которое называется «В Сибирь», чтобы поддержать их.
[57:40 - 57:46]  Можно вкратце записать. Время есть. 1824.
